review_text,rating,sentiment_label
This is a neutral review about workplace and culture.,5,neutral
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,3,positive
This is a positive review about workplace and culture.,4,positive
This is a positive review about workplace and culture.,3,positive
This is a negative review about workplace and culture.,1,negative
This is a negative review about workplace and culture.,2,negative
This is a positive review about workplace and culture.,2,positive
This is a positive review about workplace and culture.,3,positive
This is a neutral review about workplace and culture.,3,neutral
This is a positive review about workplace and culture.,4,positive
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,4,positive
This is a positive review about workplace and culture.,4,positive
This is a neutral review about workplace and culture.,3,neutral
This is a positive review about workplace and culture.,5,positive
This is a negative review about workplace and culture.,4,negative
This is a neutral review about workplace and culture.,5,neutral
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,2,positive
This is a neutral review about workplace and culture.,5,neutral
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,4,positive
This is a negative review about workplace and culture.,3,negative
This is a positive review about workplace and culture.,4,positive
This is a positive review about workplace and culture.,1,positive
This is a neutral review about workplace and culture.,3,neutral
This is a positive review about workplace and culture.,3,positive
This is a positive review about workplace and culture.,3,positive
This is a neutral review about workplace and culture.,3,neutral
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,5,positive
This is a negative review about workplace and culture.,2,negative
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,2,positive
This is a negative review about workplace and culture.,1,negative
This is a positive review about workplace and culture.,4,positive
This is a neutral review about workplace and culture.,3,neutral
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,3,positive
This is a neutral review about workplace and culture.,3,neutral
This is a positive review about workplace and culture.,4,positive
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,5,positive
This is a neutral review about workplace and culture.,5,neutral
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,1,positive
This is a negative review about workplace and culture.,5,negative
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,2,positive
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,3,positive
This is a neutral review about workplace and culture.,3,neutral
This is a neutral review about workplace and culture.,4,neutral
This is a neutral review about workplace and culture.,4,neutral
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,2,positive
This is a negative review about workplace and culture.,4,negative
This is a positive review about workplace and culture.,1,positive
This is a neutral review about workplace and culture.,3,neutral
This is a positive review about workplace and culture.,3,positive
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,4,positive
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,3,positive
This is a neutral review about workplace and culture.,4,neutral
This is a positive review about workplace and culture.,2,positive
This is a positive review about workplace and culture.,2,positive
This is a neutral review about workplace and culture.,3,neutral
This is a positive review about workplace and culture.,3,positive
This is a positive review about workplace and culture.,1,positive
This is a neutral review about workplace and culture.,4,neutral
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,2,positive
This is a negative review about workplace and culture.,1,negative
This is a neutral review about workplace and culture.,3,neutral
This is a positive review about workplace and culture.,3,positive
This is a neutral review about workplace and culture.,4,neutral
This is a positive review about workplace and culture.,4,positive
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,5,positive
This is a negative review about workplace and culture.,2,negative
This is a neutral review about workplace and culture.,4,neutral
This is a positive review about workplace and culture.,3,positive
This is a positive review about workplace and culture.,3,positive
This is a negative review about workplace and culture.,4,negative
This is a negative review about workplace and culture.,2,negative
This is a neutral review about workplace and culture.,4,neutral
This is a positive review about workplace and culture.,2,positive
This is a positive review about workplace and culture.,1,positive
This is a positive review about workplace and culture.,2,positive
This is a positive review about workplace and culture.,2,positive
This is a positive review about workplace and culture.,1,positive
This is a negative review about workplace and culture.,3,negative
This is a positive review about workplace and culture.,3,positive
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,5,positive
This is a positive review about workplace and culture.,3,positive
This is a positive review about workplace and culture.,5,positive
This is a negative review about workplace and culture.,1,negative
This is a negative review about workplace and culture.,5,negative
This is a neutral review about workplace and culture.,1,neutral
This is a positive review about workplace and culture.,5,positive
This is a negative review about workplace and culture.,5,negative
This is a neutral review about workplace and culture.,3,neutral
This is a positive review about workplace and culture.,1,positive
This is a neutral review about workplace and culture.,3,neutral
This is a neutral review about workplace and culture.,2,neutral
This is a positive review about workplace and culture.,4,positive
This is a negative review about workplace and culture.,4,negative
This is a positive review about workplace and culture.,3,positive
This is a positive review about workplace and culture.,4,positive
